"","player_name","Pos.","Age","Bats","Throws","From","To","exp_salary_char","exp_salary"
"293","Yefri Perez","CF","31.7",NA,NA,"MIA","TBD","$2,000,000",2e+06
"294","Damien Magnifico","RP","31.4","R","R","PIT","TBD","$2,000,000",2e+06
"295","Alen Hanson","2B","30.0","S","R","SEA","TBD","$2,000,000",2e+06
"296","Mikie Mahtook","CF","32.9","R","R","CHW","TBD","$2,000,000",2e+06
"297","Kaleb Cowart","DH","30.4","S","R","NYY","TBD","$2,000,000",2e+06
"298","Jonathan Aro","RP","32.1","R","R","ATL","TBD","$2,000,000",2e+06
"299","Sam Freeman","RP","35.3","R","L","KC","TBD","$2,000,000",2e+06
"300","Grant Dayton","RP","34.9","L","L","MIA","TBD","$2,000,000",2e+06
"301","Tyler Cravy","RP","29.4","R","R","MIL","TBD","$2,000,000",2e+06
"302","Tyler Wagner","RP","31.8","R","R","TEX","TBD","$2,000,000",2e+06
"303","A.J. Schugel","RP","33.3","R","R","PIT","TBD","$2,000,000",2e+06
"304","Nefi Ogando","RP","32.2","R","R","CIN","TBD","$2,000,000",2e+06
"305","Pat Light","RP","31.6","R","R","SEA","TBD","$2,000,000",2e+06
"306","Tomas Telis","1B","31.3","S","R","MIN","TBD","$2,000,000",2e+06
"307","Julian Fernández","RP","26.9","R","R","COL","TBD","$2,000,000",2e+06
"308","Tyrell Jenkins","RP","30.2","R","R","SD","TBD","$2,000,000",2e+06
"309","Chris Marrero","1B","34.3","R","R","SF","TBD","$2,000,000",2e+06
"310","Chris Beck","RP","32.2","R","R","STL","TBD","$2,000,000",2e+06
"311","Juan Graterol","C","33.7","R","R","TOR","TBD","$2,000,000",2e+06
"312","Dariel Alvarez","LF","34.0",NA,NA,"BAL","TBD","$2,000,000",2e+06
"313","Eddie Gamboa","RP","37.8",NA,NA,"BAL","TBD","$2,000,000",2e+06
"314","Zach McAllister","RP","34.9","R","R","STL","TBD","$2,000,000",2e+06
"315","Joseph Biagini","RP","32.4","R","R","TOR","TBD","$2,000,000",2e+06
"316","Jose Peraza","SS","28.5","R","R","BOS","TBD","$2,000,000",2e+06
"317","Caden Lemons","P","23.9",NA,NA,"MIL","TBD","$2,000,000",2e+06
"318","Edubray Ramos","RP","29.8","R","R","TEX","TBD","$2,000,000",2e+06
"319","Koda Glover","RP","29.5","R","R","WSH","TBD","$2,000,000",2e+06
"320","Cody Reed","RP","29.5","L","L","TB","TBD","$2,000,000",2e+06
"321","Gregory Infante","RP","35.3","R","R","BAL","TBD","$2,000,000",2e+06
"322","Jose Valdez","RP","39.8","R","R","SF","TBD","$2,000,000",2e+06
"323","Keone Kela","RP","29.5","R","R","ARI","TBD","$2,000,000",2e+06
"324","Stuart Turner","C","30.8","R","R","CIN","TBD","$2,000,000",2e+06
