"SP" "SP1" "SP2" "SP3" "SP4" "SP5" "RP" "C" "1B" "2B" "3B" "SS" "LF" "CF" "RF" "DH"
"ARI" 1.0188708813715 1.01656938573001 1.02421674958714 1.09489423579948 1.04996555287225 0.93893904692608 1.18066815811033 0.838533163602558 0.963330934916464 0.992551872364549 1.03224244975788 1.08781543835829 0.959642184069204 1.11890959708748 1.0009845615733 1.08915128084095
"ATL" 0.813334530127803 0.940926537832155 0.891024626857872 0.862815941724668 0.795141233223792 0.894798598920837 0.879125012619481 1.00273672604063 0.916942358605966 0.824969000566895 0.948412080387391 1.13380357315939 1.11996775420524 0.917854722784974 0.829670847819594 0.874815448853998
"BAL" 1.15228921463495 1.15704896039744 1.10897537314213 1.14130989461444 1.04996555287225 1.11550083894705 1.0260306476022 0.804324088094625 1.01634645069989 1.19504784245338 0.941963590435815 0.890723432067861 0.970699119940655 0.986787822545835 1.04233614765178 1.08915128084095
"BOS" 0.961176466987302 1.01656938573001 1.02421674958714 0.955647259354592 0.94503789184053 0.850658150915594 0.910052514721106 1.01642035624381 0.950077055970607 1.09729116723808 0.922618120581087 1.00897863584212 0.937528312326301 1.02699879740634 1.08368773373026 1.08915128084095
"CHC" 1.11262430474581 1.09221223362786 1.04843349917428 1.15678178088609 1.07994488459559 1.04929016693919 1.07242190075464 1.07799669215809 1.12900442173967 1.08332592792161 1.11607281912837 0.976129968127048 0.97622758787638 1.00402109748605 0.912374019976554 1.06119443319048
"CHW" 0.993629575078412 0.984151022345212 0.939458126032151 0.955647259354592 1.0199862211489 1.11550083894705 0.863661261568668 0.995894910939048 1.00309257175403 1.01349973133926 1.0257939598063 0.936711566868961 1.12549622214097 0.929343572745118 1.08368773373026 0.781625956685758
"CIN" 1.01165907957347 0.940926537832155 0.891024626857872 1.00206291816955 1.13990354804229 1.09343061494443 0.995103145500576 1.08483850725967 1.12237748226674 1.00651711168102 1.15476375883783 1.06810623772925 0.981756055812106 1.0959318971672 1.15457616700765 1.11710812849142
"CLE" 0.9900236741794 0.940926537832155 1.01210837479357 1.03300669071286 1.00499655528722 0.961009270928702 0.964175643398951 1.02326217134539 0.996465632281105 0.936690915098664 0.877478690920054 0.962990501041019 0.887772100904772 1.03848764736648 0.9655403449346 1.08915128084095
"COL" 1.13425971013989 1.10301835475612 1.1210837479357 1.09489423579948 1.09493455045727 1.09343061494443 1.13427690495789 1.12588939786919 1.07598890595624 1.02746497065573 1.04513942966103 1.00240890229911 0.987284523747831 1.11316517210741 1.09550247260982 1.08915128084095
"DET" 1.07656529575569 1.10301835475612 1.06054187396785 1.06395046325617 1.00499655528722 1.02721994293657 1.12654502943248 1.09852213746285 1.03622726911867 1.11823902621279 1.04513942966103 1.03525757001418 1.05362613897654 0.975298972585692 1.0009845615733 0.977323890239062
"HOU" 0.928723358896193 0.940926537832155 1 0.971119145626246 0.885079228393834 0.872728374918215 0.971907518924357 1.11220576766602 1.14225830068553 0.866864718516308 0.896824160774782 1.04839703710021 0.838015889483242 0.96955454760562 0.853300325578725 1.0705133824073
"KC" 1.08738299845273 1.00576326460174 1.13319212272927 1.11036612207113 1.03497588701057 1.04929016693919 1.08788565180545 1.09852213746285 0.883807661241325 1.06936068860514 0.961309060290543 1.12723383961638 1.08679694659089 1.07869862222698 1.04824351709156 0.884134398070822
"LAA" 0.939541061593229 0.865283689934305 0.96367487561929 0.971119145626246 0.990006889425551 1.02721994293657 1.18066815811033 1.02326217134539 1.06936196648332 0.985569252706313 1.01289697990315 1.19293117504652 1.10891081833379 0.843177198044042 0.989169822693731 0.790944905902582
"LAD" 0.932329259795205 0.994957143473477 0.939458126032151 0.878287827996322 0.960027557702203 0.961009270928702 0.917784390246513 0.852216793805731 0.8307921454579 1.02048235099749 1.07093338946734 1.17322197441748 0.727446530768731 1.16486499692806 0.806041370060462 0.921410194938118
"MIA" 0.881846647209034 0.908508174447362 0.939458126032151 0.971119145626246 0.915058560117182 0.806517702910351 0.964175643398951 1.02326217134539 1.02297339017282 0.936690915098664 0.877478690920054 1.08124570481528 1.08679694659089 1.02699879740634 1.08959510317004 0.968004941022238
