playerid,Name,Team,POS,G,PA,IP,WAR,value,spotrac
23429,JP Sears,OAK,SP,24,0,134,1.5,NA,NA
13273,Ross Stripling,FA,SP,28,0,147,1.5,17576905,FA
15454,Nick Pivetta,BOS,SP,32,0,185,1.5,NA,NA
18498,Kenta Maeda,MIN,SP,34,0,146,1.5,NA,NA
11836,Taijuan Walker,FA,SP,29,0,161,1.5,13953086,FA
14078,Michael Wacha,FA,SP,28,0,150,1.5,11985930,FA
19479,Aaron Civale,CLE,SP,24,0,134,1.5,NA,NA
13774,Zach Eflin,FA,SP,26,0,146,1.4,13786511,FA
19388,Tony Gonsolin,LAD,SP,28,0,153,1.4,NA,NA
15440,Matthew Boyd,FA,SP,26,0,153,1.4,2000000,FA
24586,Kyle Bradish,BAL,SP,28,0,155,1.4,NA,NA
11762,Noah Syndergaard,FA,SP,28,0,153,1.4,15287228,FA
21690,Edward Cabrera,MIA,SP,24,0,132,1.4,NA,NA
14710,Edwin Díaz,NYM,RP,64,0,64,1.4,NA,NA
27681,Ken Waldichuk,OAK,SP,23,0,127,1.4,NA,NA
10123,Kyle Gibson,FA,SP,29,0,172,1.3,12095550,FA
22267,Tarik Skubal,DET,SP,16,0,89,1.3,NA,NA
25880,Hunter Brown,HOU,RP,54,0,100,1.3,NA,NA
20039,Adrian Morejon,SDP,RP,57,0,116,1.3,NA,NA
11760,Drew Smyly,FA,SP,24,0,129,1.3,14527815,FA
19316,Eric Lauer,MIL,SP,28,0,156,1.3,NA,NA
16256,Kyle Freeland,COL,SP,31,0,178,1.3,NA,NA
20373,Andrés Muñoz,SEA,RP,65,0,65,1.3,NA,NA
3548,Liam Hendriks,CHW,RP,68,0,68,1.3,NA,NA
2233,Adam Wainwright,STL,SP,28,0,167,1.3,NA,NA
12808,Mike Clevinger,FA,SP,28,0,151,1.3,10382643,FA
22201,MacKenzie Gore,WSN,SP,23,0,129,1.3,NA,NA
14739,Paul Blackburn,OAK,SP,28,0,157,1.3,NA,NA
19911,José Suarez,LAA,SP,26,0,141,1.2,NA,NA
21537,Daniel Lynch,KCR,SP,26,0,140,1.2,NA,NA
21029,Jhoan Duran,MIN,RP,68,0,68,1.2,NA,NA
3542,Danny Duffy,FA,RP,40,0,114,1.2,2000000,FA
20633,Yusei Kikuchi,TOR,RP,43,0,125,1.2,NA,NA
21224,Bailey Ober,MIN,SP,23,0,123,1.2,NA,NA
17479,Jack Flaherty,STL,SP,31,0,145,1.2,NA,NA
24580,Josiah Gray,WSN,SP,29,0,170,1.2,NA,NA
11828,James Paxton,BOS,SP,27,0,117,1.2,NA,NA
12730,Nick Martinez,SDP,SP,39,0,136,1.2,NA,NA
19312,Cal Quantrill,CLE,SP,29,0,169,1.1,NA,NA
21032,Emmanuel Clase,CLE,RP,70,0,70,1.1,NA,NA
8779,Wade Miley,FA,SP,23,0,125,1.1,2000000,FA
14212,Josh Hader,SDP,RP,66,0,66,1.1,NA,NA
21318,Tylor Megill,NYM,RP,27,0,77,1.1,NA,NA
26260,Drey Jameson,ARI,SP,19,0,111,1.1,NA,NA
15488,Antonio Senzatela,COL,SP,26,0,145,1.1,NA,NA
27473,Cade Cavalli,WSN,SP,23,0,129,1.1,NA,NA
18413,José Urquidy,HOU,SP,28,0,157,1.1,NA,NA
20369,Matt Manning,DET,SP,24,0,136,1.1,NA,NA
10021,Mike Minor,FA,SP,24,0,134,1.1,2000000,FA
21455,Kris Bubic,KCR,SP,28,0,151,1,NA,NA
17282,Michael Kopech,CHW,SP,36,0,141,1,NA,NA
18383,Mike Soroka,ATL,SP,32,0,108,1,NA,NA
