Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Javier Báez,DET,141,627,580,140,29,4,22,71,73,30,169,9,10,4,,0.241,0.287,0.415,0.702,0.304,99,,1,-6.5,,0,0.5,2.2,,999,12979
Anthony Volpe,NYY,81,328,289,70,16,2,11,40,39,30,68,5,13,4,,0.24,0.319,0.423,0.741,0.324,113,,0.5,0,,5.1,4.1,2.1,,999,sa3010868
Brandon Crawford,SFG,122,492,437,107,21,2,13,51,53,42,103,6,4,2,,0.244,0.317,0.389,0.705,0.309,100,,-0.8,-2.8,,-0.7,3.2,2,,999,5343
Miguel Rojas,MIA,123,491,448,116,22,2,8,51,46,30,65,5,9,3,,0.258,0.31,0.368,0.678,0.298,94,,-0.8,0.5,,-4.5,6.7,2,,999,7802
Elvis Andrus,,122,498,456,115,24,1,10,53,50,30,79,4,12,4,,0.251,0.302,0.373,0.675,0.297,91,,1.8,-1.2,,-3.3,4.8,1.9,,999,8709
Eguy Rosario,SDP,92,368,330,80,18,1,11,41,43,30,78,4,10,4,,0.243,0.311,0.404,0.715,0.313,105,,0.1,0.1,,2.3,1.6,1.7,,999,19964
Eduardo Escobar,NYM,126,521,475,110,21,3,19,56,63,38,121,3,2,1,,0.232,0.291,0.409,0.7,0.303,101,,-0.8,-2.4,,-0.4,-0.9,1.7,,999,6153
Joey Wendle,MIA,113,479,443,115,28,2,7,48,48,23,85,7,10,4,,0.261,0.306,0.381,0.687,0.3,95,,-0.1,0.2,,-2.8,2.3,1.6,,999,13853
Jorge Mateo,BAL,143,544,501,114,25,5,12,58,54,28,143,6,30,10,,0.228,0.275,0.368,0.643,0.281,82,,2.3,-0.3,,-8.9,6.8,1.6,,999,17273
Nick Allen,OAK,125,474,428,100,23,1,7,46,41,36,88,4,10,3,,0.234,0.296,0.341,0.637,0.283,88,,0.4,-0.2,,-6,6,1.6,,999,22277
Chris Taylor,LAD,141,568,500,114,26,3,14,61,60,54,173,7,9,3,,0.227,0.309,0.377,0.686,0.302,96,,0.6,-3.7,,-2.2,-1.8,1.6,,999,13757
Luis García,WSN,117,479,446,119,24,3,14,51,55,24,91,3,5,2,,0.267,0.307,0.429,0.736,0.317,103,,-0.5,-3.1,,1.1,-2.2,1.6,,999,20391
José Iglesias,,110,454,423,114,25,1,6,45,44,18,63,6,4,2,,0.269,0.307,0.372,0.679,0.298,92,,-0.4,-0.8,,-4.5,3.5,1.5,,999,10231
Ryan Kreidler,DET,110,416,366,81,17,2,11,44,40,38,113,6,10,3,,0.22,0.301,0.362,0.663,0.295,92,,0.4,1.6,,-3.2,3.6,1.4,,999,25867
Kyle Farmer,MIN,104,432,395,99,20,1,9,44,46,22,75,10,3,2,,0.252,0.306,0.38,0.686,0.302,98,,-0.7,-0.5,,-1.9,1.5,1.4,,999,14813
Brice Turang,MIL,104,390,345,84,16,1,8,43,38,37,78,2,12,3,,0.244,0.317,0.366,0.683,0.303,94,,0.7,0,,-2.1,1.9,1.4,,999,sa3008294
David Fletcher,LAA,120,516,476,128,25,2,5,57,43,29,50,4,8,3,,0.268,0.312,0.359,0.671,0.296,90,,0.1,-2.2,,-5.6,2,1.3,,999,17992
Adalberto Mondesi,KCR,123,515,477,112,24,3,14,55,57,28,142,4,29,9,,0.234,0.28,0.385,0.665,0.29,84,,2.4,-0.6,,-6.8,2.9,1.3,,999,13769
Oswald Peraza,NYY,63,245,222,55,10,1,8,28,29,17,54,3,9,3,,0.249,0.308,0.408,0.716,0.313,105,,0.2,0.4,,1.6,2.9,1.3,,999,22823
Kevin Newman,CIN,122,503,466,124,25,2,7,49,48,28,65,4,8,3,,0.267,0.311,0.375,0.685,0.301,86,,0.5,-3.3,,-7.7,2.5,1.2,,999,17696
