"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Will Smith","LAD","127","551","478","121","23","2","26","73","80","57","99","10","2","1","",".252",".342",".472",".814",".352","129","","-2.0","-0.1","","16.8","5.0","4.3","","999.0","19197"
"Gunnar Henderson","BAL","141","619","537","136","28","4","22","76","78","70","152","6","10","4","",".254",".344",".442",".787",".344","126","","-0.5","1.3","","17.5","3.3","4.3","","999.0","26289"
"Marcus Semien","TEX","150","692","618","154","30","3","26","92","74","59","122","4","19","6","",".250",".317",".434",".751",".327","114","","2.0","2.2","","12.9","5.3","4.2","","999.0","12533"
"Pete Alonso","NYM","150","649","567","148","27","1","39","92","108","66","127","10","3","2","",".261",".347",".520",".867",".367","144","","-2.5","0.1","","30.8","-12.6","4.2","","999.0","19251"
"Bobby Witt Jr.","KCR","149","669","613","161","34","5","26","89","84","40","134","7","27","10","",".262",".312",".461",".773",".333","114","","2.0","2.1","","12.9","5.3","4.1","","999.0","25764"
"Yandy Díaz","TBR","141","641","544","154","32","1","14","86","63","82","86","6","5","2","",".282",".380",".424",".803",".354","138","","-1.9","-2.6","","25.6","-6.9","4.1","","999.0","16578"
"Luis Robert","CHW","139","614","567","160","33","1","25","77","86","35","123","7","13","5","",".283",".329",".475",".803",".346","127","","1.2","-2.6","","19.8","-0.7","4.1","","999.0","20043"
"Cal Raleigh","SEA","127","530","479","107","24","1","27","64","76","41","142","5","2","1","",".224",".290",".449",".739",".319","113","","-0.8","1.4","","7.1","6.5","4.0","","999.0","21534"
"Byron Buxton","MIN","130","586","527","126","28","3","32","82","81","42","163","9","9","3","",".239",".303",".485",".789",".339","123","","0.9","4.0","","16.4","2.9","4.0","","999.0","14161"
"Bryan Reynolds","PIT","150","675","589","157","29","5","24","90","82","67","144","10","7","3","",".266",".349",".457",".805",".348","125","","-0.6","-5.9","","18.8","-3.8","4.0","","999.0","19326"
"Andrés Giménez","CLE","144","596","535","143","29","3","19","71","74","37","118","17","17","6","",".266",".331",".436",".767",".333","118","","0.9","2.9","","12.8","5.7","3.9","","999.0","19950"
"Willy Adames","MIL","146","653","580","141","30","1","28","85","80","61","173","3","8","4","",".243",".316",".441",".757",".328","111","","0.8","-1.5","","9.1","5.8","3.9","","999.0","15986"
"Oneil Cruz","PIT","130","589","524","131","24","5","27","83","71","51","159","5","19","7","",".249",".319",".471",".790",".341","120","","0.7","-3.5","","14.3","1.7","3.8","","999.0","21711"
"Bryce Harper","PHI","146","634","536","144","34","1","30","89","95","87","133","6","13","5","",".268",".373",".503",".876",".373","141","","-1.6","-1.1","","28.8","-14.6","3.7","","999.0","11579"
"Jeff McNeil","NYM","150","663","597","173","37","1","13","81","67","46","80","11","4","2","",".290",".349",".423",".772",".338","124","","-1.0","-2.1","","17.7","-5.2","3.7","","999.0","15362"
"Steven Kwan","CLE","141","647","566","160","29","6","11","87","58","64","67","7","16","5","",".283",".361",".413",".773",".340","123","","1.0","1.7","","17.8","-4.5","3.6","","999.0","24610"
"Nico Hoerner","CHC","139","616","558","156","29","4","12","74","59","41","76","8","18","6","",".280",".335",".410",".745",".324","109","","0.7","-1.2","","7.3","5.8","3.5","","999.0","21479"
"Seiya Suzuki","CHC","141","631","547","143","28","2","26","86","80","69","138","7","11","5","",".262",".349",".465",".814",".351","128","","-0.8","0.3","","19.6","-7.7","3.5","","999.0","30116"
"Tommy Edman","STL","147","660","600","158","33","3","13","83","65","43","107","7","25","7","",".263",".317",".395",".713",".312","104","","3.5","-2.4","","6.6","4.4","3.5","","999.0","19470"
"Matt Chapman","TOR","150","616","535","118","25","2","26","73","77","67","180","7","3","1","",".221",".313",".422",".736",".322","111","","0.4","3.0","","8.0","5.5","3.5","","999.0","16505"
"Jazz Chisholm Jr.","MIA","133","599","536","131","23","5","27","81","75","48","151","6","26","10","",".245",".312",".461",".773",".334","118","","1.2","-2.2","","13.8","-1.1","3.5","","999.0","20454"
"Ha-Seong Kim","SDP","143","621","551","136","26","2","17","76","63","53","111","7","12","4","",".248",".319",".395",".714",".314","106","","0.3","0.8","","4.5","7.0","3.4","","999.0","27506"
"Amed Rosario","CLE","143","640","597","165","28","7","13","77","68","30","112","4","13","5","",".277",".314",".412",".726",".316","106","","1.2","-0.7","","5.4","6.4","3.4","","999.0","15518"
"Anthony Rendon","LAA","138","583","504","130","31","1","18","70","71","66","103","6","3","1","",".257",".348",".431",".779",".341","122","","0.0","-2.0","","14.5","-1.0","3.4","","999.0","12861"
"Matt Olson","ATL","150","652","566","141","30","1","34","89","99","74","148","6","2","1","",".249",".340",".486",".825",".354","127","","-1.0","3.1","","19.5","-9.4","3.4","","999.0","14344"
"Brandon Lowe","TBR","130","547","480","115","24","2","25","68","71","53","133","7","4","2","",".239",".322",".453",".774",".336","125","","0.9","-2.6","","16.5","-2.0","3.4","","999.0","18882"
"Gleyber Torres","NYY","143","617","555","145","28","1","23","73","80","52","128","4","13","5","",".262",".327",".443",".769",".334","119","","-0.3","-0.6","","13.2","-1.0","3.3","","999.0","16997"
"Ty France","SEA","149","670","598","163","33","1","23","87","80","45","110","19","1","0","",".273",".340",".447",".787",".342","129","","-1.5","2.2","","20.7","-10.5","3.3","","999.0","17982"
"Eloy Jiménez","CHW","146","627","569","155","27","1","32","81","98","47","142","5","1","0","",".272",".331",".494",".825",".356","133","","-0.5","-2.7","","23.1","-11.7","3.3","","999.0","17484"
"Luis Arraez","MIN","139","636","566","172","33","3","7","81","55","55","54","4","7","3","",".304",".368",".410",".779",".343","126","","0.1","0.7","","18.9","-8.2","3.3","","999.0","18568"
"Riley Greene","DET","143","636","566","145","28","6","15","71","67","58","163","6","8","3","",".257",".330",".407",".736",".323","112","","0.1","-0.9","","8.9","1.4","3.2","","999.0","25976"
"Tim Anderson","CHW","139","646","603","172","31","1","16","82","62","27","120","6","17","5","",".285",".320",".423",".743",".323","110","","2.2","-6.7","","9.7","0.2","3.2","","999.0","15172"
"Dansby Swanson","","150","641","578","143","30","1","21","76","73","49","162","5","13","5","",".246",".309",".412",".721",".315","104","","1.5","-2.2","","4.2","5.3","3.2","","999.0","18314"
"Daulton Varsho","ARI","132","589","526","125","25","3","25","77","68","49","135","6","15","5","",".238",".308",".439",".747",".324","107","","1.6","4.4","","6.6","4.5","3.2","","999.0","19918"
"Jorge Polanco","MIN","143","627","555","142","29","1","21","75","77","61","123","5","8","4","",".256",".333",".427",".760",".332","119","","0.0","-7.6","","13.5","-3.1","3.2","","999.0","13152"
"Shohei Ohtani","LAA","147","657","565","144","27","4","35","94","96","79","169","5","17","7","",".254",".348",".503",".851",".360","135","","-0.1","0.0","","26.0","-17.2","3.1","","999.0","19755"
"Starling Marte","NYM","139","629","570","152","28","4","17","81","70","37","125","13","24","8","",".267",".324",".421",".745",".326","116","","2.2","-7.3","","13.7","-5.3","3.1","","999.0","9241"
"Ke'Bryan Hayes","PIT","139","618","553","143","32","3","14","71","67","52","133","6","17","6","",".258",".326",".402",".728",".320","105","","0.5","2.6","","4.4","4.3","3.1","","999.0","18577"
"Cedric Mullins","BAL","147","680","608","153","31","4","20","90","66","53","128","8","30","9","",".252",".318",".413",".731",".319","108","","2.2","-3.3","","8.7","-0.9","3.1","","999.0","17929"
"Thairo Estrada","SFG","143","631","569","147","28","2","18","76","66","41","107","11","19","7","",".258",".319",".413",".732",".321","108","","0.9","-2.0","","7.0","1.1","3.1","","999.0","16426"
"Willson Contreras","","125","558","481","115","24","1","21","72","66","52","133","18","5","2","",".239",".333",".429",".762",".335","118","","-1.4","0.3","","9.8","5.2","3.1","","999.0","11609"
"J.P. Crawford","SEA","150","605","529","135","28","2","8","66","54","60","89","7","6","2","",".256",".337",".364",".701",".313","109","","-0.3","-3.4","","5.8","4.1","3.1","","999.0","15491"
"Ozzie Albies","ATL","138","570","521","135","30","3","20","69","73","38","102","5","13","5","",".259",".312",".445",".757",".327","109","","1.8","0.8","","7.5","2.2","3.0","","999.0","16556"
"Jake Cronenworth","SDP","147","639","561","140","31","4","16","76","75","62","112","11","3","1","",".250",".334",".406",".740",".324","113","","0.2","6.0","","9.8","-2.4","3.0","","999.0","18036"
"Vinnie Pasquantino","KCR","130","558","487","135","29","2","24","73","81","61","75","6","2","1","",".278",".362",".493",".855",".369","140","","-1.2","0.4","","23.9","-12.9","3.0","","999.0","27676"
"Ketel Marte","ARI","141","631","561","150","39","2","17","80","71","55","109","7","5","2","",".267",".337",".434",".771",".335","115","","-0.4","-1.8","","10.4","-3.1","3.0","","999.0","13613"
"Luis Urías","MIL","139","575","501","121","24","1","19","65","64","59","119","9","4","2","",".242",".330",".408",".739",".325","109","","-0.5","0.6","","5.8","3.2","3.0","","999.0","16622"
"Nathaniel Lowe","TEX","146","634","558","151","26","3","26","79","85","64","147","4","4","2","",".271",".348",".464",".812",".352","132","","-1.7","-0.5","","20.9","-12.7","3.0","","999.0","19566"
"Christian Yelich","MIL","146","666","562","140","26","3","21","89","68","89","164","5","14","4","",".248",".354",".418",".771",".339","118","","1.5","-0.9","","15.6","-10.0","2.9","","999.0","11477"
"Lars Nootbaar","STL","109","481","412","101","18","2","19","66","55","59","101","4","7","3","",".246",".343",".442",".785",".343","125","","0.1","2.0","","14.0","-2.5","2.9","","999.0","21454"
"Trevor Story","BOS","149","642","573","137","33","2","23","76","82","56","171","7","17","6","",".238",".311",".424",".736",".319","102","","1.5","-3.2","","3.3","3.7","2.9","","999.0","12564"
"Harrison Bader","NYY","130","525","473","117","22","3","15","56","58","38","114","7","17","6","",".248",".312",".404",".715",".312","104","","1.3","4.7","","3.8","6.8","2.9","","999.0","18030"
"Randy Arozarena","TBR","149","656","584","150","33","2","22","82","83","54","164","12","26","11","",".257",".330",".438",".767",".334","123","","-0.5","-2.4","","16.9","-10.9","2.8","","999.0","19290"
"Ian Happ","CHC","149","651","570","140","31","2","23","77","80","68","160","7","9","4","",".246",".331",".426",".757",".330","114","","0.1","1.8","","10.3","-5.4","2.8","","999.0","17919"
"Jonah Heim","TEX","98","409","369","86","18","1","14","44","48","33","79","3","2","1","",".234",".300",".400",".700",".307","99","","-0.8","0.0","","-1.2","6.9","2.8","","999.0","16930"
"Dylan Carlson","STL","123","502","440","111","27","3","13","60","56","47","98","7","5","2","",".252",".332",".415",".747",".327","115","","0.2","0.0","","8.6","0.9","2.8","","999.0","20126"
"DJ LeMahieu","NYY","138","633","555","152","26","1","14","80","57","64","88","5","6","2","",".274",".352",".402",".754",".333","119","","-0.9","4.5","","12.6","-6.4","2.8","","999.0","9874"
"Gavin Lux","LAD","131","529","467","123","23","5","12","60","58","52","103","3","7","3","",".263",".339",".411",".749",".329","114","","0.5","-6.6","","9.1","-0.6","2.8","","999.0","19955"
"Taylor Ward","LAA","143","618","540","140","29","2","22","77","79","65","137","7","6","2","",".259",".344",".443",".787",".344","124","","-0.3","-2.9","","16.5","-9.9","2.8","","999.0","17548"
"Jose Trevino","NYY","84","322","299","74","15","1","8","33","35","15","59","2","3","1","",".245",".284",".386",".670",".291","89","","-0.9","0.3","","-4.7","7.3","2.7","","999.0","16725"
"Bryson Stott","PHI","133","529","473","119","24","3","14","58","59","46","103","3","11","4","",".252",".320",".403",".724",".318","103","","0.5","-0.7","","2.4","5.9","2.7","","999.0","26294"
"Corbin Carroll","ARI","128","524","459","111","22","7","18","61","61","52","137","8","15","6","",".242",".327",".436",".764",".332","113","","0.4","5.4","","8.1","0.1","2.7","","999.0","25878"
